Call_Date,Call_Time,province,district
17/09/2014,06:49:09,WEST,WESTERN URBAN
17/09/2014,06:53:39,WEST,WESTERN URBAN
17/09/2014,06:55:16,NORTH,PORT LOKO
17/09/2014,06:55:20,SOUTH,BO
17/09/2014,07:05:27,WEST,WESTERN URBAN
17/09/2014,07:08:01,WEST,WESTERN URBAN
17/09/2014,07:08:37,WEST,WESTERN URBAN
17/09/2014,07:10:31,WEST,WESTERN URBAN
17/09/2014,07:10:47,WEST,WESTERN URBAN
17/09/2014,07:12:26,WEST,WESTERN URBAN
17/09/2014,07:16:48,WEST,WESTERN URBAN
17/09/2014,07:18:42,WEST,WESTERN URBAN
17/09/2014,07:19:01,WEST,WESTERN URBAN
17/09/2014,07:19:45,WEST,WESTERN RURAL
17/09/2014,07:21:42,NORTH,PORT LOKO
17/09/2014,07:23:21,WEST,WESTERN URBAN
17/09/2014,07:23:36,WEST,WESTERN URBAN
17/09/2014,07:24:17,WEST,WESTERN URBAN
17/09/2014,07:27:33,NORTH,KAMBIA
17/09/2014,07:28:07,WEST,WESTERN URBAN
17/09/2014,07:28:23,NORTH,BOMBALI
17/09/2014,07:28:32,WEST,WESTERN URBAN
17/09/2014,07:30:30,NORTH,PORT LOKO
17/09/2014,07:31:52,WEST,WESTERN URBAN
17/09/2014,07:33:55,WEST,WESTERN URBAN
17/09/2014,07:34:38,WEST,WESTERN URBAN
17/09/2014,07:37:20,WEST,WESTERN URBAN
17/09/2014,07:37:32,WEST,WESTERN URBAN
17/09/2014,07:38:47,NORTH,TONKOLILI
17/09/2014,07:39:31,WEST,WESTERN URBAN
17/09/2014,07:40:32,WEST,WESTERN URBAN
17/09/2014,07:46:07,WEST,WESTERN URBAN
17/09/2014,07:48:03,WEST,WESTERN RURAL
17/09/2014,08:00:23,WEST,WESTERN URBAN
17/09/2014,08:02:18,NORTH,BOMBALI
17/09/2014,08:04:21,WEST,WESTERN URBAN
17/09/2014,08:13:36,WEST,WESTERN URBAN
17/09/2014,08:21:16,WEST,WESTERN URBAN
17/09/2014,08:21:26,WEST,WESTERN URBAN
17/09/2014,08:23:49,WEST,WESTERN URBAN
17/09/2014,08:28:31,WEST,WESTERN URBAN
17/09/2014,08:44:28,SOUTH,BO
17/09/2014,08:52:29,WEST,WESTERN URBAN
17/09/2014,08:52:36,NORTH,BOMBALI
17/09/2014,08:54:11,NORTH,PORT LOKO
17/09/2014,08:55:01,WEST,WESTERN RURAL
17/09/2014,09:03:22,WEST,WESTERN URBAN
17/09/2014,09:08:56,NORTH,BOMBALI
17/09/2014,09:16:52,NORTH,BOMBALI
17/09/2014,09:24:53,NORTH,PORT LOKO
17/09/2014,09:29:44,NORTH,PORT LOKO
17/09/2014,09:32:59,WEST,WESTERN RURAL
17/09/2014,09:41:22,NORTH,PORT LOKO
17/09/2014,09:50:59,WEST,WESTERN URBAN
17/09/2014,09:56:57,WEST,WESTERN URBAN
17/09/2014,09:58:27,WEST,WESTERN URBAN
17/09/2014,10:05:25,WEST,WESTERN RURAL
17/09/2014,10:13:17,WEST,WESTERN URBAN
17/09/2014,10:17:20,NORTH,TONKOLILI
17/09/2014,10:19:27,NORTH,BOMBALI
17/09/2014,10:24:44,WEST,WESTERN RURAL
17/09/2014,10:26:42,WEST,WESTERN URBAN
17/09/2014,10:29:32,WEST,WESTERN URBAN
17/09/2014,10:30:09,WEST,WESTERN URBAN
17/09/2014,10:38:45,WEST,WESTERN RURAL
17/09/2014,10:39:36,WEST,WESTERN URBAN
17/09/2014,10:39:56,WEST,WESTERN URBAN
17/09/2014,10:41:15,WEST,WESTERN URBAN
17/09/2014,10:41:40,WEST,WESTERN URBAN
17/09/2014,10:50:14,WEST,WESTERN URBAN
17/09/2014,10:51:33,NORTH,BOMBALI
17/09/2014,10:54:44,WEST,WESTERN URBAN
17/09/2014,11:00:30,EAST,KENEMA
17/09/2014,11:03:20,WEST,WESTERN URBAN
17/09/2014,11:09:55,NORTH,BOMBALI
17/09/2014,11:10:19,WEST,WESTERN URBAN
17/09/2014,11:10:28,NORTH,TONKOLILI
17/09/2014,11:10:40,WEST,WESTERN URBAN
17/09/2014,11:11:37,WEST,WESTERN RURAL
17/09/2014,11:13:31,NORTH,TONKOLILI
17/09/2014,11:19:26,WEST,WESTERN RURAL
17/09/2014,11:29:39,WEST,WESTERN RURAL
17/09/2014,11:39:10,WEST,WESTERN RURAL
17/09/2014,11:51:45,WEST,WESTERN URBAN
17/09/2014,12:12:55,WEST,WESTERN URBAN
17/09/2014,12:14:49,NORTH,BOMBALI
17/09/2014,12:16:34,WEST,WESTERN RURAL
17/09/2014,12:29:59,EAST,KENEMA
17/09/2014,12:30:45,WEST,WESTERN RURAL
17/09/2014,12:44:51,NORTH,PORT LOKO
17/09/2014,12:51:19,WEST,WESTERN RURAL
17/09/2014,12:58:31,WEST,WESTERN URBAN
17/09/2014,13:06:35,WEST,WESTERN URBAN
17/09/2014,13:08:05,EAST,KENEMA
17/09/2014,13:12:42,NORTH,PORT LOKO
